# mjd     filter    flux     fluxerr    mag     magerr  zpt    magsys fluxcalAB fluxcalerrAB fluxcalVega  fluxcalerrVega  magVega   zptvega  
56850.07   F125W     4.343    0.224     24.64   0.06   26.230   AB	    13.9894   0.7220   32.07739         1.65553    23.735	  25.3293
																							                                                         	         
56891.86   F140W     2.578    0.344     25.42   0.14   26.452   AB	     6.7695   0.9030   18.24223         2.43340    24.347	  25.3761
56893.06   F140W     3.026    0.449     25.25   0.16   26.452   AB	     7.9445   1.1781   21.40075         3.17354    23.974	  25.3761
56955.58   F140W     1.218    0.269     26.24   0.24   26.452   AB	     3.1986   0.7066    8.61951         1.90429    25.161	  25.3761
																							                                                         	         
56817.09   F160W     4.831    0.263     24.24   0.06   25.946   AB	    20.2114   1.1017   63.99653         3.48853    22.985	  24.6949
56833.21   F160W     3.965    0.241     24.45   0.07   25.946   AB	    16.5912   1.0071   52.53368         3.18909    23.199	  24.6949
56841.84   F160W     3.011    0.234     24.75   0.08   25.946   AB	    12.5992   0.9780   39.89358         3.09686    23.498	  24.6949
56850.08   F160W     2.744    0.223     24.85   0.09   25.946   AB	    11.4819   0.9333   36.35580         2.95543    23.599	  24.6949
56860.67   F160W     2.002    0.229     25.19   0.12   25.946   AB        8.3765   0.9582   26.51576         3.03302    23.941     24.6949
56886.64   F160W     1.677    0.191     25.38   0.12   25.946   AB	     7.0178   0.7998   22.22115         2.53246    24.133	  24.6949
