# z    mag   err_mag               
  1.3  3.353 0.12692123892968846
  1.31 3.367 0.1279062220477631 
  1.32 3.38  0.12889143107228435
  1.33 3.393 0.14270599718919774
  1.34 3.406 0.12987687520388913
  1.35 3.418 0.1458252318436663 
  1.36 3.431 0.1320189371518625 
